way	weight	speed
0.0	0.0	0.0
1.0	0.0	4.43
2.0	31.42	5.74
3.0	52.79	6.48
4.0	67.32	6.94
5.0	77.19	7.24
6.0	83.91	7.43
7.0	88.47	7.56
8.0	91.58	7.65
9.0	93.69	7.7
10.0	95.12	7.74
11.0	96.1	7.77
12.0	96.76	7.79
13.0	97.21	7.8
14.0	97.52	7.81
15.0	97.72	7.81
16.0	97.86	7.82
17.0	97.96	7.82
18.0	98.03	7.82
19.0	98.07	7.82
20.0	98.1	7.82
21.0	98.12	7.82
22.0	98.14	7.82
23.0	98.15	7.82
24.0	98.15	7.82
25.0	98.16	7.82
26.0	98.16	7.82
27.0	98.16	7.82
28.0	98.16	7.82
29.0	98.16	7.82
30.0	98.16	7.82
31.0	98.16	7.82
32.0	98.16	7.82
33.0	98.16	7.82
34.0	98.16	7.82
35.0	98.16	7.82
36.0	98.16	7.82
37.0	98.16	7.82
38.0	98.16	7.82
39.0	98.16	7.82
40.0	98.16	7.82
41.0	98.16	7.81
42.0	98.16	7.81
43.0	98.16	7.81
44.0	98.16	7.81
45.0	98.16	7.81
46.0	98.16	7.81
47.0	98.16	7.81
48.0	98.16	7.81
49.0	98.16	7.81
50.0	98.16	7.81
51.0	98.16	7.81
52.0	98.16	7.81
53.0	98.16	7.81
54.0	98.16	7.81
55.0	98.16	7.81
56.0	98.16	7.81
57.0	98.16	7.81
58.0	98.16	7.81
59.0	98.16	7.81
60.0	98.16	7.81
61.0	98.16	7.81
62.0	98.16	7.81
63.0	98.16	7.81
64.0	98.16	7.81
65.0	98.16	7.81
66.0	98.16	7.81
67.0	98.16	7.8
68.0	98.16	7.8
69.0	98.16	7.8
70.0	98.16	7.8
71.0	98.16	7.8
72.0	98.16	7.8
73.0	98.16	7.8
74.0	98.16	7.8
75.0	98.17	7.8
76.0	98.16	7.8
77.0	98.16	7.8
78.0	98.16	7.8
79.0	98.16	7.8
80.0	98.16	7.8
81.0	98.17	7.8
82.0	98.16	7.8
83.0	98.16	7.8
84.0	98.16	7.8
85.0	98.16	7.8
86.0	98.17	7.8
87.0	98.17	7.8
88.0	98.16	7.8
89.0	98.16	7.8
90.0	98.16	7.8
91.0	98.16	7.8
92.0	98.17	7.8
93.0	98.16	7.79
94.0	98.16	7.79
95.0	98.16	7.79
96.0	98.16	7.79
97.0	98.16	7.79
98.0	98.17	7.79
99.0	98.16	7.79
100.0	170514.72	0.0
100.0	98.14	0.05
100.0	98.14	0.1
100.0	98.14	0.15
100.0	98.04	0.2
100.0	97.94	0.25
100.01	97.75	0.29
100.01	97.35	0.34
100.01	96.67	0.39
100.01	95.59	0.44
100.01	94.12	0.49
100.02	91.96	0.53
100.02	89.21	0.58
100.02	85.48	0.62
100.03	80.87	0.66
100.03	75.08	0.7
100.03	68.01	0.73
100.04	59.57	0.76
100.04	49.66	0.79
100.05	38.27	0.81
100.05	25.22	0.82
100.05	10.7	0.82
100.06	0.0	0.82
